Datum,WoTag,Woche,lfdTag,JulTag,SAofficial,SUofficial,MondTag,MondProzent,Mondphase,MA,MU,Text
1.1.2017,Sonntag,52,1,2457755,08:33,16:36,4,28,,10:15,20:14,Neujahr 
2.1.2017,Montag,1,2,2457756,08:33,16:37,5,34,,10:47,21:22,
3.1.2017,Dienstag,1,3,2457757,08:33,16:38,6,41,,11:15,22:33,
4.1.2017,Mittwoch,1,4,2457758,08:33,16:39,7,48,,11:52,23:44,
5.1.2017,Donnerstag,1,5,2457759,08:32,16:40,8,55,,12:08,00:58,
6.1.2017,Freitag,1,6,2457760,08:32,16:42,9,62,,12:36,01:00,Dreikönigstag 
7.1.2017,Samstag,1,7,2457761,08:32,16:43,10,69,,13:06,02:14,
8.1.2017,Sonntag,1,8,2457762,08:31,16:44,11,76,,13:41,03:30,
9.1.2017,Montag,2,9,2457763,08:31,16:45,12,83,,14:22,04:46,
10.1.2017,Dienstag,2,10,2457764,08:30,16:47,13,90,,15:12,05:58,
11.1.2017,Mittwoch,2,11,2457765,08:30,16:48,14,100,,16:10,07:05,
12.1.2017,Donnerstag,2,12,2457766,08:29,16:50,15,100,Vollmond,17:16,08:02,
13.1.2017,Freitag,2,13,2457767,08:29,16:51,16,90,,18:27,08:50,
14.1.2017,Samstag,2,14,2457768,08:28,16:52,17,83,,19:39,09:28,
15.1.2017,Sonntag,2,15,2457769,08:27,16:54,18,76,,20:50,10:01,
16.1.2017,Montag,3,16,2457770,08:26,16:55,19,69,,21:59,10:30,
17.1.2017,Dienstag,3,17,2457771,08:25,16:57,20,62,,23:06,10:55,
18.1.2017,Mittwoch,3,18,2457772,08:24,16:59,21,55,,00:11,11:18,
19.1.2017,Donnerstag,3,19,2457773,08:24,17:00,22,48,,01:00,11:42,
20.1.2017,Freitag,3,20,2457774,08:23,17:02,23,41,,01:13,12:07,
21.1.2017,Samstag,3,21,2457775,08:22,17:03,24,34,,02:16,12:33,
22.1.2017,Sonntag,3,22,2457776,08:20,17:05,25,28,,03:17,13:03,
23.1.2017,Montag,4,23,2457777,08:19,17:07,26,21,,04:16,13:37,
24.1.2017,Dienstag,4,24,2457778,08:18,17:08,27,14,,05:13,14:17,
25.1.2017,Mittwoch,4,25,2457779,08:17,17:10,28,7,,06:06,15:04,
26.1.2017,Donnerstag,4,26,2457780,08:16,17:12,29,0,,06:55,15:58,
27.1.2017,Freitag,4,27,2457781,08:14,17:13,0,0,Neumond,07:38,16:58,
28.1.2017,Samstag,4,28,2457782,08:13,17:15,1,7,,08:16,18:03,
29.1.2017,Sonntag,4,29,2457783,08:12,17:17,2,14,,08:49,19:11,
30.1.2017,Montag,5,30,2457784,08:10,17:19,3,21,,09:19,20:23,Winterschlußverkauf 
31.1.2017,Dienstag,5,31,2457785,08:09,17:20,4,28,,09:47,21:42,
1.2.2017,Mittwoch,5,32,2457786,08:07,17:22,5,34,,10:14,22:49,
2.2.2017,Donnerstag,5,33,2457787,08:06,17:24,6,41,,10:41,00:03,
3.2.2017,Freitag,5,34,2457788,08:04,17:26,7,48,,11:10,01:00,
4.2.2017,Samstag,5,35,2457789,08:03,17:27,8,55,,11:42,01:17,
5.2.2017,Sonntag,5,36,2457790,08:01,17:29,9,62,,12:20,02:32,
6.2.2017,Montag,6,37,2457791,08:00,17:31,10,69,,13:04,03:43,
7.2.2017,Dienstag,6,38,2457792,07:58,17:33,11,76,,13:57,04:50,
8.2.2017,Mittwoch,6,39,2457793,07:56,17:35,12,83,,14:57,05:49,
9.2.2017,Donnerstag,6,40,2457794,07:55,17:36,13,90,,16:05,06:40,
10.2.2017,Freitag,6,41,2457795,07:53,17:38,14,100,,17:15,07:22,
11.2.2017,Samstag,6,42,2457796,07:51,17:40,15,100,Vollmond,18:27,07:58,42!
12.2.2017,Sonntag,6,43,2457797,07:49,17:42,16,90,,19:37,08:29,
13.2.2017,Montag,7,44,2457798,07:48,17:43,17,83,,20:47,08:56,
14.2.2017,Dienstag,7,45,2457799,07:46,17:45,18,76,,21:53,09:20,Valentinstag 
15.2.2017,Mittwoch,7,46,2457800,07:44,17:47,19,69,,22:58,09:44,
16.2.2017,Donnerstag,7,47,2457801,07:42,17:49,20,62,,00:02,10:09,
17.2.2017,Freitag,7,48,2457802,07:40,17:51,21,55,,01:00,10:35,
18.2.2017,Samstag,7,49,2457803,07:38,17:52,22,48,,01:03,11:03,
19.2.2017,Sonntag,7,50,2457804,07:36,17:54,23,41,,02:04,11:35,
20.2.2017,Montag,8,51,2457805,07:34,17:56,24,34,,03:01,12:12,
21.2.2017,Dienstag,8,52,2457806,07:32,17:58,25,28,,03:56,12:56,
22.2.2017,Mittwoch,8,53,2457807,07:30,17:59,26,21,,04:46,13:46,
23.2.2017,Donnerstag,8,54,2457808,07:28,18:01,27,14,,05:31,14:43,Weiberfastnacht 
24.2.2017,Freitag,8,55,2457809,07:26,18:03,28,7,,06:12,15:46,
25.2.2017,Samstag,8,56,2457810,07:24,18:05,29,0,,06:48,16:54,
26.2.2017,Sonntag,8,57,2457811,07:22,18:06,0,0,Neumond,07:19,18:06,
27.2.2017,Montag,9,58,2457812,07:20,18:08,1,7,,07:48,19:19,Rosenmontag 
28.2.2017,Dienstag,9,59,2457813,07:18,18:10,2,14,,08:17,20:35,Karnevalsdienstag 
1.3.2017,Mittwoch,9,60,2457814,07:16,18:11,4,28,,08:44,21:51,Aschermittwoch 
2.3.2017,Donnerstag,9,61,2457815,07:14,18:13,5,34,,09:13,23:07,
3.3.2017,Freitag,9,62,2457816,07:12,18:15,6,41,,09:45,00:22,
4.3.2017,Samstag,9,63,2457817,07:10,18:17,7,48,,10:21,01:00,
5.3.2017,Sonntag,9,64,2457818,07:08,18:18,8,55,,11:03,01:34,
6.3.2017,Montag,10,65,2457819,07:05,18:20,9,62,,11:52,02:42,
7.3.2017,Dienstag,10,66,2457820,07:03,18:22,10,69,,12:49,03:43,
8.3.2017,Mittwoch,10,67,2457821,07:01,18:23,11,76,,13:52,04:35,
9.3.2017,Donnerstag,10,68,2457822,06:59,18:25,12,83,,15:00,05:19,
10.3.2017,Freitag,10,69,2457823,06:57,18:27,13,90,,16:10,05:57,
11.3.2017,Samstag,10,70,2457824,06:55,18:28,14,100,,17:19,06:28,
12.3.2017,Sonntag,10,71,2457825,06:52,18:30,15,100,Vollmond,18:29,06:56,
13.3.2017,Montag,11,72,2457826,06:50,18:32,16,90,,19:36,07:21,
14.3.2017,Dienstag,11,73,2457827,06:48,18:33,17,83,,20:43,07:46,
15.3.2017,Mittwoch,11,74,2457828,06:46,18:35,18,76,,21:47,08:10,
16.3.2017,Donnerstag,11,75,2457829,06:43,18:37,19,69,,22:50,08:35,
17.3.2017,Freitag,11,76,2457830,06:41,18:38,20,62,,23:51,09:03,
18.3.2017,Samstag,11,77,2457831,06:39,18:40,21,55,,00:51,09:33,
19.3.2017,Sonntag,11,78,2457832,06:37,18:42,22,48,,01:00,10:08,
20.3.2017,Montag,12,79,2457833,06:35,18:43,23,41,,01:46,10:49,Frühlingsanfang 
21.3.2017,Dienstag,12,80,2457834,06:32,18:45,24,34,,02:38,11:35,
22.3.2017,Mittwoch,12,81,2457835,06:30,18:46,25,28,,03:24,12:29,
23.3.2017,Donnerstag,12,82,2457836,06:28,18:48,26,21,,04:06,13:28,
24.3.2017,Freitag,12,83,2457837,06:26,18:50,27,14,,04:44,14:33,
25.3.2017,Samstag,12,84,2457838,06:23,18:51,28,7,,05:16,15:43,
26.3.2017,Sonntag,12,85,2457839,07:21,19:53,29,0,,06:47,17:56,Beginn MESZ 
27.3.2017,Montag,13,86,2457840,07:19,19:55,0,0,Neumond,07:19,19:12,
28.3.2017,Dienstag,13,87,2457841,07:17,19:56,1,7,,07:44,20:29,
29.3.2017,Mittwoch,13,88,2457842,07:14,19:58,2,14,,08:12,21:49,
30.3.2017,Donnerstag,13,89,2457843,07:12,19:59,3,21,,08:44,23:07,
31.3.2017,Freitag,13,90,2457844,07:10,20:01,4,28,,09:19,00:23,
1.4.2017,Samstag,13,91,2457845,07:08,20:03,5,34,,10:00,01:35,
2.4.2017,Sonntag,13,92,2457846,07:06,20:04,6,41,,10:47,02:00,
3.4.2017,Montag,14,93,2457847,07:03,20:06,7,48,,11:43,02:39,
4.4.2017,Dienstag,14,94,2457848,07:01,20:08,8,55,,12:44,03:34,
5.4.2017,Mittwoch,14,95,2457849,06:59,20:09,9,62,,13:51,04:20,
6.4.2017,Donnerstag,14,96,2457850,06:57,20:11,10,69,,14:59,04:59,
7.4.2017,Freitag,14,97,2457851,06:55,20:12,11,76,,16:08,05:31,
8.4.2017,Samstag,14,98,2457852,06:52,20:14,12,83,,17:16,05:59,
9.4.2017,Sonntag,14,99,2457853,06:50,20:16,13,90,,18:23,06:25,Palmsonntag 
10.4.2017,Montag,15,100,2457854,06:48,20:17,14,100,,19:30,06:49,
11.4.2017,Dienstag,15,101,2457855,06:46,20:19,15,100,Vollmond,20:34,07:13,
12.4.2017,Mittwoch,15,102,2457856,06:44,20:21,16,90,,21:39,07:37,
13.4.2017,Donnerstag,15,103,2457857,06:42,20:22,17,83,,22:41,08:03,Gründonnerstag 
14.4.2017,Freitag,15,104,2457858,06:40,20:24,18,76,,23:41,08:32,Karfreitag 
15.4.2017,Samstag,15,105,2457859,06:37,20:25,19,69,,00:38,09:05,
16.4.2017,Sonntag,15,106,2457860,06:35,20:27,20,62,,01:32,09:44,Ostersonntag 
17.4.2017,Montag,16,107,2457861,06:33,20:29,21,55,,02:00,10:27,Ostermontag 
18.4.2017,Dienstag,16,108,2457862,06:31,20:30,22,48,,02:20,11:17,
19.4.2017,Mittwoch,16,109,2457863,06:29,20:32,23,41,,03:03,12:13,
20.4.2017,Donnerstag,16,110,2457864,06:27,20:33,24,34,,03:41,13:15,
21.4.2017,Freitag,16,111,2457865,06:25,20:35,25,28,,04:15,14:21,
22.4.2017,Samstag,16,112,2457866,06:23,20:37,26,21,,04:45,15:32,
23.4.2017,Sonntag,16,113,2457867,06:21,20:38,27,14,,05:14,17:46,Weißer Sonntag 
24.4.2017,Montag,17,114,2457868,06:19,20:40,28,7,,05:42,18:02,
25.4.2017,Dienstag,17,115,2457869,06:17,20:42,29,0,,06:09,19:21,
26.4.2017,Mittwoch,17,116,2457870,06:15,20:43,0,0,Neumond,06:39,20:41,
27.4.2017,Donnerstag,17,117,2457871,06:13,20:45,1,7,,07:13,22:01,
28.4.2017,Freitag,17,118,2457872,06:11,20:46,2,14,,07:52,23:18,
29.4.2017,Samstag,17,119,2457873,06:09,20:48,3,21,,08:38,00:28,
30.4.2017,Sonntag,17,120,2457874,06:07,20:50,4,28,,09:33,01:30,
1.5.2017,Montag,18,121,2457875,06:06,20:51,6,41,,10:34,02:00,Maifeiertag 
2.5.2017,Dienstag,18,122,2457876,06:04,20:53,7,48,,11:41,02:20,
3.5.2017,Mittwoch,18,123,2457877,06:02,20:54,8,55,,12:50,03:02,
4.5.2017,Donnerstag,18,124,2457878,06:00,20:56,9,62,,13:59,03:36,
5.5.2017,Freitag,18,125,2457879,05:58,20:57,10,69,,15:08,04:05,Europatag 
6.5.2017,Samstag,18,126,2457880,05:57,20:59,11,76,,16:15,04:31,Rhein in Flammen 
7.5.2017,Sonntag,18,127,2457881,05:55,21:00,12,83,,17:21,04:55,
8.5.2017,Montag,19,128,2457882,05:53,21:02,13,90,,18:25,05:18,
9.5.2017,Dienstag,19,129,2457883,05:52,21:04,14,100,,19:30,05:42,
10.5.2017,Mittwoch,19,130,2457884,05:50,21:05,15,100,Vollmond,20:32,06:06,
11.5.2017,Donnerstag,19,131,2457885,05:48,21:07,16,90,,21:34,06:34,
12.5.2017,Freitag,19,132,2457886,05:47,21:08,17,83,,22:32,07:05,
13.5.2017,Samstag,19,133,2457887,05:45,21:10,18,76,,23:28,07:41,Servatius Eisheiliger 
14.5.2017,Sonntag,19,134,2457888,05:44,21:11,19,69,,00:17,08:22,Muttertag 
15.5.2017,Montag,20,135,2457889,05:42,21:13,20,62,,01:02,09:10,
16.5.2017,Dienstag,20,136,2457890,05:41,21:14,21,55,,01:42,10:03,
17.5.2017,Mittwoch,20,137,2457891,05:40,21:15,22,48,,02:00,11:02,
18.5.2017,Donnerstag,20,138,2457892,05:38,21:17,23,41,,02:16,12:05,
19.5.2017,Freitag,20,139,2457893,05:37,21:18,24,34,,02:47,13:13,
20.5.2017,Samstag,20,140,2457894,05:36,21:20,25,28,,03:15,14:22,
21.5.2017,Sonntag,20,141,2457895,05:34,21:21,26,21,,03:58,15:36,
22.5.2017,Montag,21,142,2457896,05:33,21:22,27,14,,04:08,16:52,
23.5.2017,Dienstag,21,143,2457897,05:32,21:24,28,7,,04:36,18:11,
24.5.2017,Mittwoch,21,144,2457898,05:31,21:25,29,0,,05:07,19:32,
25.5.2017,Donnerstag,21,145,2457899,05:30,21:26,0,0,Neumond,05:43,20:51,Towel Day Himmelfahrt 
26.5.2017,Freitag,21,146,2457900,05:29,21:27,1,7,,06:25,22:07,
27.5.2017,Samstag,21,147,2457901,05:28,21:29,2,14,,07:16,23:16,
28.5.2017,Sonntag,21,148,2457902,05:27,21:30,3,21,,08:16,00:13,
29.5.2017,Montag,22,149,2457903,05:26,21:31,4,28,,09:24,01:00,
30.5.2017,Dienstag,22,150,2457904,05:25,21:32,5,34,,10:34,01:39,
31.5.2017,Mittwoch,22,151,2457905,05:24,21:33,6,41,,11:47,02:00,
1.6.2017,Donnerstag,22,152,2457906,05:23,21:34,7,48,,12:57,02:10,
2.6.2017,Freitag,22,153,2457907,05:22,21:35,8,55,,14:06,02:37,
3.6.2017,Samstag,22,154,2457908,05:22,21:36,9,62,,15:12,03:01,
4.6.2017,Sonntag,22,155,2457909,05:21,21:37,10,69,,16:17,03:25,Pfingsten 
5.6.2017,Montag,23,156,2457910,05:20,21:38,11,76,,17:22,03:48,Pfingstmontag 
6.6.2017,Dienstag,23,157,2457911,05:20,21:39,12,83,,18:24,04:11,
7.6.2017,Mittwoch,23,158,2457912,05:19,21:40,13,90,,19:26,04:37,
8.6.2017,Donnerstag,23,159,2457913,05:19,21:41,14,100,,20:26,05:07,
9.6.2017,Freitag,23,160,2457914,05:18,21:42,15,100,Vollmond,21:23,05:41,
10.6.2017,Samstag,23,161,2457915,05:18,21:42,16,90,,22:15,06:20,
11.6.2017,Sonntag,23,162,2457916,05:18,21:43,17,83,,23:02,07:06,
12.6.2017,Montag,24,163,2457917,05:17,21:44,18,76,,23:44,07:57,
13.6.2017,Dienstag,24,164,2457918,05:17,21:44,19,69,,00:19,08:54,
14.6.2017,Mittwoch,24,165,2457919,05:17,21:45,20,62,,00:51,09:56,
15.6.2017,Donnerstag,24,166,2457920,05:17,21:45,21,55,,01:20,11:01,Fronleichnam 
16.6.2017,Freitag,24,167,2457921,05:17,21:46,22,48,,01:46,12:08,
17.6.2017,Samstag,24,168,2457922,05:17,21:46,23,41,,02:00,13:58,
18.6.2017,Sonntag,24,169,2457923,05:17,21:47,24,34,,02:11,14:31,
19.6.2017,Montag,25,170,2457924,05:17,21:47,25,28,,02:37,15:46,
20.6.2017,Dienstag,25,171,2457925,05:17,21:47,26,21,,03:05,17:04,
21.6.2017,Mittwoch,25,172,2457926,05:17,21:48,27,14,,03:37,18:23,Sommeranfang 
22.6.2017,Donnerstag,25,173,2457927,05:17,21:48,28,7,,04:15,19:41,
23.6.2017,Freitag,25,174,2457928,05:18,21:48,29,0,,05:00,20:53,
24.6.2017,Samstag,25,175,2457929,05:18,21:48,0,0,Neumond,05:56,21:58,
25.6.2017,Sonntag,25,176,2457930,05:18,21:48,1,7,,07:00,22:51,
26.6.2017,Montag,26,177,2457931,05:19,21:48,2,14,,08:11,23:35,
27.6.2017,Dienstag,26,178,2457932,05:19,21:48,3,21,,09:26,00:10,Siebenschläfer 
28.6.2017,Mittwoch,26,179,2457933,05:20,21:48,4,28,,10:39,00:40,
29.6.2017,Donnerstag,26,180,2457934,05:20,21:48,5,34,,11:51,01:06,
30.6.2017,Freitag,26,181,2457935,05:21,21:48,6,41,,13:00,01:30,
1.7.2017,Samstag,26,182,2457936,05:22,21:47,8,55,,14:07,01:53,
2.7.2017,Sonntag,26,183,2457937,05:22,21:47,9,62,,15:12,02:00,
3.7.2017,Montag,27,184,2457938,05:23,21:47,10,69,,16:15,02:17,
4.7.2017,Dienstag,27,185,2457939,05:24,21:46,11,76,,17:18,02:42,
5.7.2017,Mittwoch,27,186,2457940,05:24,21:46,12,83,,18:18,03:10,
6.7.2017,Donnerstag,27,187,2457941,05:25,21:45,13,90,,19:17,03:42,
7.7.2017,Freitag,27,188,2457942,05:26,21:45,14,100,,20:11,04:19,
8.7.2017,Samstag,27,189,2457943,05:27,21:44,15,100,Vollmond,21:00,05:03,
9.7.2017,Sonntag,27,190,2457944,05:28,21:43,16,90,,21:44,05:52,
10.7.2017,Montag,28,191,2457945,05:29,21:43,17,83,,22:22,06:48,
11.7.2017,Dienstag,28,192,2457946,05:30,21:42,18,76,,22:55,07:49,
12.7.2017,Mittwoch,28,193,2457947,05:31,21:41,19,69,,23:25,08:53,
13.7.2017,Donnerstag,28,194,2457948,05:32,21:40,20,62,,23:52,10:00,
14.7.2017,Freitag,28,195,2457949,05:33,21:39,21,55,,00:20,11:08,
15.7.2017,Samstag,28,196,2457950,05:34,21:39,22,48,,00:42,12:19,
16.7.2017,Sonntag,28,197,2457951,05:35,21:38,23,41,,01:08,13:31,
17.7.2017,Montag,29,198,2457952,05:37,21:37,24,34,,01:37,14:45,
18.7.2017,Dienstag,29,199,2457953,05:38,21:36,25,28,,02:00,16:01,
19.7.2017,Mittwoch,29,200,2457954,05:39,21:34,26,21,,02:10,17:17,
20.7.2017,Donnerstag,29,201,2457955,05:40,21:33,27,14,,02:51,18:31,
21.7.2017,Freitag,29,202,2457956,05:41,21:32,28,7,,03:40,19:39,
22.7.2017,Samstag,29,203,2457957,05:43,21:31,29,0,,04:38,20:37,
23.7.2017,Sonntag,29,204,2457958,05:44,21:30,0,0,Neumond,05:46,21:26,
24.7.2017,Montag,30,205,2457959,05:45,21:28,1,7,,07:00,22:06,
25.7.2017,Dienstag,30,206,2457960,05:47,21:27,2,14,,08:15,22:39,
26.7.2017,Mittwoch,30,207,2457961,05:48,21:26,3,21,,09:30,23:08,
27.7.2017,Donnerstag,30,208,2457962,05:50,21:24,4,28,,10:42,23:33,
28.7.2017,Freitag,30,209,2457963,05:51,21:23,5,34,,11:51,23:57,Sysadmin Day 
29.7.2017,Samstag,30,210,2457964,05:52,21:21,6,41,,12:58,00:21,
30.7.2017,Sonntag,30,211,2457965,05:54,21:20,7,48,,14:03,00:46,
31.7.2017,Montag,31,212,2457966,05:55,21:18,8,55,,15:07,01:13,Sommerschlußverkauf 
1.8.2017,Dienstag,31,213,2457967,05:57,21:17,9,62,,16:09,01:43,
2.8.2017,Mittwoch,31,214,2457968,05:58,21:15,10,69,,17:08,02:00,
3.8.2017,Donnerstag,31,215,2457969,06:00,21:14,11,76,,18:04,02:18,
4.8.2017,Freitag,31,216,2457970,06:01,21:12,12,83,,18:55,02:59,
5.8.2017,Samstag,31,217,2457971,06:02,21:10,13,90,,19:41,03:47,
6.8.2017,Sonntag,31,218,2457972,06:04,21:09,14,100,,20:21,04:40,
7.8.2017,Montag,32,219,2457973,06:05,21:07,15,100,Vollmond,20:57,05:40,
8.8.2017,Dienstag,32,220,2457974,06:07,21:05,16,90,,21:28,06:43,Friedensfest (Augsburg) 
9.8.2017,Mittwoch,32,221,2457975,06:08,21:03,17,83,,21:56,07:50,
10.8.2017,Donnerstag,32,222,2457976,06:10,21:01,18,76,,22:39,08:59,
11.8.2017,Freitag,32,223,2457977,06:12,21:00,19,69,,22:47,10:10,
12.8.2017,Samstag,32,224,2457978,06:13,20:58,20,62,,23:13,11:22,
13.8.2017,Sonntag,32,225,2457979,06:15,20:56,21,55,,23:41,12:35,
14.8.2017,Montag,33,226,2457980,06:16,20:54,22,48,,00:12,13:49,
15.8.2017,Dienstag,33,227,2457981,06:18,20:52,23,41,,00:48,15:03,Mariä Himmelfahrt 
16.8.2017,Mittwoch,33,228,2457982,06:19,20:50,24,34,,01:32,16:15,
17.8.2017,Donnerstag,33,229,2457983,06:21,20:48,25,28,,02:00,17:24,
18.8.2017,Freitag,33,230,2457984,06:22,20:46,26,21,,02:25,18:24,
19.8.2017,Samstag,33,231,2457985,06:24,20:44,27,14,,03:27,19:17,
20.8.2017,Sonntag,33,232,2457986,06:25,20:42,28,7,,04:36,20:00,
21.8.2017,Montag,34,233,2457987,06:27,20:40,29,0,,05:51,20:36,
22.8.2017,Dienstag,34,234,2457988,06:28,20:38,0,0,Neumond,07:06,21:07,
23.8.2017,Mittwoch,34,235,2457989,06:30,20:36,1,7,,08:19,21:34,
24.8.2017,Donnerstag,34,236,2457990,06:31,20:34,2,14,,09:32,21:58,
25.8.2017,Freitag,34,237,2457991,06:33,20:32,3,21,,10:41,22:22,
26.8.2017,Samstag,34,238,2457992,06:35,20:30,4,28,,11:48,22:47,
27.8.2017,Sonntag,34,239,2457993,06:36,20:28,5,34,,12:53,23:14,
28.8.2017,Montag,35,240,2457994,06:38,20:26,6,41,,13:56,23:43,
29.8.2017,Dienstag,35,241,2457995,06:39,20:23,7,48,,14:57,00:16,
30.8.2017,Mittwoch,35,242,2457996,06:41,20:21,8,55,,15:55,00:54,
31.8.2017,Donnerstag,35,243,2457997,06:42,20:19,9,62,,16:47,01:39,
1.9.2017,Freitag,35,244,2457998,06:44,20:17,10,69,,17:36,02:00,
2.9.2017,Samstag,35,245,2457999,06:45,20:15,11,76,,18:18,02:30,
3.9.2017,Sonntag,35,246,2458000,06:47,20:13,12,83,,18:56,03:27,
4.9.2017,Montag,36,247,2458001,06:48,20:10,13,90,,19:29,04:29,
5.9.2017,Dienstag,36,248,2458002,06:50,20:08,14,100,,19:58,05:36,
6.9.2017,Mittwoch,36,249,2458003,06:52,20:06,15,100,Vollmond,20:25,06:45,
7.9.2017,Donnerstag,36,250,2458004,06:53,20:04,16,90,,20:51,08:33,
8.9.2017,Freitag,36,251,2458005,06:55,20:01,17,83,,21:17,09:10,
9.9.2017,Samstag,36,252,2458006,06:56,19:59,18,76,,21:44,10:24,
10.9.2017,Sonntag,36,253,2458007,06:58,19:57,19,69,,22:14,11:39,Pützchens Markt 
11.9.2017,Montag,37,254,2458008,06:59,19:55,20,62,,22:49,12:54,
12.9.2017,Dienstag,37,255,2458009,07:01,19:53,21,55,,23:30,14:07,
13.9.2017,Mittwoch,37,256,2458010,07:02,19:50,22,48,,00:19,15:16,
14.9.2017,Donnerstag,37,257,2458011,07:04,19:48,23,41,,01:17,16:18,
15.9.2017,Freitag,37,258,2458012,07:05,19:46,24,34,,02:00,17:11,
16.9.2017,Samstag,37,259,2458013,07:07,19:44,25,28,,02:22,17:56,
17.9.2017,Sonntag,37,260,2458014,07:08,19:41,26,21,,03:33,18:34,
18.9.2017,Montag,38,261,2458015,07:10,19:39,27,14,,04:45,19:06,
19.9.2017,Dienstag,38,262,2458016,07:12,19:37,28,7,,05:59,19:34,
20.9.2017,Mittwoch,38,263,2458017,07:13,19:34,29,0,,07:11,19:59,
21.9.2017,Donnerstag,38,264,2458018,07:15,19:32,0,0,Neumond,08:22,20:23,
22.9.2017,Freitag,38,265,2458019,07:16,19:30,1,7,,09:31,20:48,Herbstanfang 
23.9.2017,Samstag,38,266,2458020,07:18,19:28,2,14,,10:38,21:14,
24.9.2017,Sonntag,38,267,2458021,07:19,19:25,3,21,,11:43,21:42,
25.9.2017,Montag,39,268,2458022,07:21,19:23,4,28,,12:45,22:13,
26.9.2017,Dienstag,39,269,2458023,07:22,19:21,5,34,,13:44,22:49,
27.9.2017,Mittwoch,39,270,2458024,07:24,19:19,6,41,,14:39,23:32,
28.9.2017,Donnerstag,39,271,2458025,07:26,19:16,7,48,,15:30,00:19,
29.9.2017,Freitag,39,272,2458026,07:27,19:14,8,55,,16:14,01:14,
30.9.2017,Samstag,39,273,2458027,07:29,19:12,9,62,,16:53,02:00,
1.10.2017,Sonntag,39,274,2458028,07:30,19:10,11,76,,17:27,02:13,Erntedankfest 
2.10.2017,Montag,40,275,2458029,07:32,19:08,12,83,,17:58,03:18,
3.10.2017,Dienstag,40,276,2458030,07:34,19:05,13,90,,18:25,04:26,Tag der Einheit 
